	wonka.LABORATORY_CoffeeMachine	wonka.LABORATORY_3Dprinter	wonka.LABORATORY_6axisRobot
wonka.LABORATORY_CoffeeMachine	1.0	0.96067989315048	0.8255595196129152
wonka.LABORATORY_3Dprinter	0.9606798931504801	1.0000000000000002	0.8473003843685518
wonka.LABORATORY_6axisRobot	0.8255595196129153	0.8473003843685518	1.0000000000000002
